,doi,author_name
358,10.14778/2336664.2336671,Manoj K. Agarwal
359,10.14778/2336664.2336671,Krithi Ramamritham
360,10.14778/2336664.2336671,Manish Bhide
361,10.1145/3130348.3130369,Jaime Carbinell
362,10.1145/3130348.3130369,Jade Goldstein-Stewart
363,10.1109/IRI.2014.7051942,Wubai Zhou
364,10.1109/IRI.2014.7051942,Chao Shen
365,10.1109/IRI.2014.7051942,Tao Li
366,10.1109/IRI.2014.7051942,Shu-Ching Chen
367,10.1109/IRI.2014.7051942,Ning Xie
368,10.1145/2484028.2484045,Lidan Shou
369,10.1145/2484028.2484045,Zhenhua Wang
370,10.1145/2484028.2484045,Ke Chen
371,10.1145/2484028.2484045,Gang Chen
372,10.1145/383952.383970,John D. Lafferty
373,10.1145/383952.383970,ChengXiang Zhai
374,10.1145/2009916.2010016,Rui Yan
375,10.1145/2009916.2010016,Xiaojun Wan
376,10.1145/2009916.2010016,Jahna Otterbacher
377,10.1145/2009916.2010016,Liang Kong
378,10.1145/2009916.2010016,Xiaoming Li
379,10.1145/2009916.2010016,Yan Zhang
380,10.1145/1645953.1646259,Yuanhua Lv
381,10.1145/1645953.1646259,ChengXiang Zhai
382,10.1023/A:1015702129514,Stephen E. Robertson
383,10.1145/3132847.3132968,Xin Zheng
384,10.1145/3132847.3132968,Aixin Sun
385,10.1145/3132847.3132968,Sibo Wang
386,10.1145/3132847.3132968,Jialong Han
387,10.1109/ICCA.2016.7505352,Briti Deb
388,10.1109/ICCA.2016.7505352,Indrajit Mukherjee
389,10.1109/ICCA.2016.7505352,Satish Narayana Srirama
390,10.1109/ICCA.2016.7505352,Eero Vainikko
391,10.1145/1054972,Matt Jones
392,10.1145/1054972,Philippe A. Palanque
393,10.1145/1054972,Albrecht Schmidt
394,10.1145/1054972,Tovi Grossman
395,10.1109/9780470544334.ch9,Tamer Başar
396,10.1145/1502650.1502664,Ido Guy
397,10.1145/1502650.1502664,Inbal Ronen
398,10.1145/1502650.1502664,Eric Wilcox
399,10.1145/1031171.1031258,Ramesh Nallapati
400,10.1145/1031171.1031258,Ao Feng
401,10.1145/1031171.1031258,Fuchun Peng
402,10.1145/1031171.1031258,James Allan
403,10.1007/978-3-642-21852-1_55,Yegin Genc
404,10.1007/978-3-642-21852-1_55,Yasuaki Sakamoto
405,10.1007/978-3-642-21852-1_55,Jeffrey V. Nickerson
406,10.1007/978-3-642-34321-6_25,Chii Chang
407,10.1007/978-3-642-34321-6_25,Satish Narayana Srirama
408,10.1007/978-3-642-34321-6_25,Sea Ling
409,10.1007/978-3-540-71496-5_5,Donald Metzler
410,10.1007/978-3-540-71496-5_5,Susan T. Dumais
411,10.1007/978-3-540-71496-5_5,Christopher Meek
412,10.1109/BigDataCongress.2015.18,Stefano Faralli
413,10.1109/BigDataCongress.2015.18,Giovanni Stilo
414,10.1109/BigDataCongress.2015.18,Paola Velardi
415,10.1111/j.1756-8765.2010.01117.x,Danielle S. McNamara
416,10.1145/1526709.1526800,Shilad Sen
417,10.1145/1526709.1526800,Jesse Vig
418,10.1145/1526709.1526800,John Riedl
419,10.1109/ICDM.2003.1250972,Andreas Hotho
420,10.1109/ICDM.2003.1250972,Steffen Staab
421,10.1109/ICDM.2003.1250972,Gerd Stumme
422,10.1145/1772690.1772777,Takeshi Sakaki
423,10.1145/1772690.1772777,Makoto Okazaki
424,10.1145/1772690.1772777,Yutaka Matsuo
425,10.1145/2487788.2488172,Nattiya Kanhabua
426,10.1145/2487788.2488172,Wolfgang Nejdl
427,10.2514/1.G001672,Celso Braga de Mendonça
428,10.1145/1277741.1277909,Somnath Banerjee
429,10.1145/1277741.1277909,Krishnan Ramanathan
430,10.1145/1277741.1277909,Alok Gupta
431,10.1109/TKDE.2007.48,Rudi Cilibrasi
432,10.1109/TKDE.2007.48,Paul M. B. Vitányi
433,10.1145/2488388.2488433,Panjak Gupta
434,10.1145/2488388.2488433,Ashish Goel
435,10.1145/2488388.2488433,Jimmy Lin
436,10.1145/2488388.2488433,Aneesh Sharma
437,10.1145/2488388.2488433,Dong Wang
438,10.1145/2488388.2488433,Reza Bosagh Zadeh
439,10.1145/1753326.1753503,Jilin Chen
440,10.1145/1753326.1753503,Rowan Nairn
441,10.1145/1753326.1753503,Les Nelson
442,10.1145/1753326.1753503,Michael S. Bernstein
443,10.1145/1753326.1753503,Ed Huai-hsin Chi
444,10.1109/ICDMW.2011.171,Kathy Lee
445,10.1109/ICDMW.2011.171,Diana Palsetia
446,10.1109/ICDMW.2011.171,Ramanathan Narayanan
447,10.1109/ICDMW.2011.171,Md. Mostofa Ali Patwary
448,10.1109/ICDMW.2011.171,Ankit Agrawal
449,10.1109/ICDMW.2011.171,Alok N. Choudhary
450,10.1007/BFb0036332,Gerard Salton
451,10.1007/BFb0036332,Hans-Jochen Schneider
452,10.1145/3369780,Gerasimos Razis
453,10.1145/3369780,Ioannis Anagnostopoulos
454,10.1145/2910896.2925462,Yue Fei
455,10.1145/2910896.2925462,Chao Lv
456,10.1145/2910896.2925462,Yansong Feng
457,10.1145/2910896.2925462,Dongyan Zhao 0001
