,score,id,url_num,author,title,venue,vol,pages,year,pub_type,key,doi,ee,url,num
159,,,,"[{'authorId': '7673350', 'name': 'Chii Chang', 'url': 'https://www.semanticscholar.org/author/7673350'}, {'authorId': '1698593', 'name': 'Satish Narayana Srirama', 'url': 'https://www.semanticscholar.org/author/1698593'}, {'authorId': '1709568', 'name': 'Sea Ling', 'url': 'https://www.semanticscholar.org/author/1709568'}]",An Adaptive Mediation Framework for Mobile P2P Social Content Sharing,ICSOC,,,2012,,,10.1007/978-3-642-34321-6_25,,https://www.semanticscholar.org/paper/c6caedff1aba983b2df823e755e1b329f19f7cf8,
160,,,,"[{'authorId': '1680617', 'name': 'Donald Metzler', 'url': 'https://www.semanticscholar.org/author/1680617'}, {'authorId': '1728602', 'name': 'Susan T. Dumais', 'url': 'https://www.semanticscholar.org/author/1728602'}, {'authorId': '50004012', 'name': 'Christopher Meek', 'url': 'https://www.semanticscholar.org/author/50004012'}]",Similarity Measures for Short Segments of Text,ECIR,,,2007,,,10.1007/978-3-540-71496-5_5,,https://www.semanticscholar.org/paper/68db32ceae99879d0e55fd37e4f0458cfc530499,
161,,,,"[{'authorId': '2790693', 'name': 'Stefano Faralli', 'url': 'https://www.semanticscholar.org/author/2790693'}, {'authorId': '1765155', 'name': 'Giovanni Stilo', 'url': 'https://www.semanticscholar.org/author/1765155'}, {'authorId': '1782522', 'name': 'Paola Velardi', 'url': 'https://www.semanticscholar.org/author/1782522'}]",A Semantic Recommender for Micro-blog Users,2015 IEEE International Congress on Big Data,,,2015,,,10.1109/BigDataCongress.2015.18,,https://www.semanticscholar.org/paper/1d466206f41c99522c42a126bbd0e76fdadb2a26,
162,,,,"[{'authorId': '1801516', 'name': 'Danielle S. McNamara', 'url': 'https://www.semanticscholar.org/author/1801516'}]",Computational Methods to Extract Meaning From Text and Advance Theories of Human Cognition,topiCS,,,2011,,,10.1111/j.1756-8765.2010.01117.x,,https://www.semanticscholar.org/paper/bf1caf2deffa79cb6c07829e94c5e9fde9a87707,
163,,,,"[{'authorId': '3342684', 'name': 'Shilad Sen', 'url': 'https://www.semanticscholar.org/author/3342684'}, {'authorId': '2056908', 'name': 'Jesse Vig', 'url': 'https://www.semanticscholar.org/author/2056908'}, {'authorId': '2579342', 'name': 'John Riedl', 'url': 'https://www.semanticscholar.org/author/2579342'}]",Tagommenders: connecting users to items through tags,WWW '09,,,2009,,,10.1145/1526709.1526800,,https://www.semanticscholar.org/paper/d42aeeed21834bf5fce1e74ed215151fd22e0802,
164,,,,"[{'authorId': '1792623', 'name': 'Andreas Hotho', 'url': 'https://www.semanticscholar.org/author/1792623'}, {'authorId': '1752093', 'name': 'Steffen Staab', 'url': 'https://www.semanticscholar.org/author/1752093'}, {'authorId': '1705932', 'name': 'Gerd Stumme', 'url': 'https://www.semanticscholar.org/author/1705932'}]",Ontologies improve text document clustering,Third IEEE International Conference on Data Mining,,,2003,,,10.1109/ICDM.2003.1250972,,https://www.semanticscholar.org/paper/08dc9c5f1e6c8546f3a6c29f54dd579d104bea2e,
165,,,,"[{'authorId': '3091472', 'name': 'Takeshi Sakaki', 'url': 'https://www.semanticscholar.org/author/3091472'}, {'authorId': '3045161', 'name': 'Makoto Okazaki', 'url': 'https://www.semanticscholar.org/author/3045161'}, {'authorId': '49484314', 'name': 'Yutaka Matsuo', 'url': 'https://www.semanticscholar.org/author/49484314'}]",Earthquake shakes Twitter users: real-time event detection by social sensors,WWW '10,,,2010,,,10.1145/1772690.1772777,,https://www.semanticscholar.org/paper/49b2a1b9606c0ccb95a36895760fc91b8b830266,
166,,,,"[{'authorId': '1738773', 'name': 'Nattiya Kanhabua', 'url': 'https://www.semanticscholar.org/author/1738773'}, {'authorId': '1744808', 'name': 'Wolfgang Nejdl', 'url': 'https://www.semanticscholar.org/author/1744808'}]",Understanding the diversity of tweets in the time of outbreaks,WWW '13 Companion,,,2013,,,10.1145/2487788.2488172,,https://www.semanticscholar.org/paper/d56bfc955a3026d165251255b429f3a3ec8748c3,
167,,,,"[{'authorId': '66444306', 'name': 'Celso Braga de Mendonça', 'url': 'https://www.semanticscholar.org/author/66444306'}]",Flight Vehicle System Identification: A Time-Domain Methodology,,,,2016,,,10.2514/1.G001672,,https://www.semanticscholar.org/paper/8640d5a48956df260b3a653e085dbe29af11ce5e,
168,,,,"[{'authorId': '2226316', 'name': 'Somnath Banerjee', 'url': 'https://www.semanticscholar.org/author/2226316'}, {'authorId': '47729880', 'name': 'Krishnan Ramanathan', 'url': 'https://www.semanticscholar.org/author/47729880'}, {'authorId': '50178937', 'name': 'Alok Gupta', 'url': 'https://www.semanticscholar.org/author/50178937'}]",Clustering short texts using wikipedia,SIGIR,,,2007,,,10.1145/1277741.1277909,,https://www.semanticscholar.org/paper/a8b1d46c09e101b31cfb263aa5dc63863b038410,
169,,,,"[{'authorId': '2702975', 'name': 'Rudi Cilibrasi', 'url': 'https://www.semanticscholar.org/author/2702975'}, {'authorId': '46641506', 'name': 'Paul M. B. Vitányi', 'url': 'https://www.semanticscholar.org/author/46641506'}]",The Google Similarity Distance,IEEE Transactions on Knowledge and Data Engineering,,,2007,,,10.1109/TKDE.2007.48,,https://www.semanticscholar.org/paper/5849552213363da6c309999f937710778fb749f6,
170,,,,"[{'authorId': '82152295', 'name': 'Panjak Gupta', 'url': 'https://www.semanticscholar.org/author/82152295'}, {'authorId': '143638107', 'name': 'Ashish Goel', 'url': 'https://www.semanticscholar.org/author/143638107'}, {'authorId': '37752900', 'name': 'Jimmy Lin', 'url': 'https://www.semanticscholar.org/author/37752900'}, {'authorId': '2478523', 'name': 'Aneesh Sharma', 'url': 'https://www.semanticscholar.org/author/2478523'}, {'authorId': '113144757', 'name': 'Dong Wang', 'url': 'https://www.semanticscholar.org/author/113144757'}, {'authorId': '5985064', 'name': 'Reza Bosagh Zadeh', 'url': 'https://www.semanticscholar.org/author/5985064'}]",WTF: the who to follow service at Twitter,WWW '13,,,2013,,,10.1145/2488388.2488433,,https://www.semanticscholar.org/paper/989d672d38de29c36bb968edfdb593038bba7b85,
171,,,,"[{'authorId': '5401495', 'name': 'Jilin Chen', 'url': 'https://www.semanticscholar.org/author/5401495'}, {'authorId': '49019819', 'name': 'Rowan Nairn', 'url': 'https://www.semanticscholar.org/author/49019819'}, {'authorId': '69562228', 'name': 'Les Nelson', 'url': 'https://www.semanticscholar.org/author/69562228'}, {'authorId': '145879842', 'name': 'Michael S. Bernstein', 'url': 'https://www.semanticscholar.org/author/145879842'}, {'authorId': '2226805', 'name': 'Ed Huai-hsin Chi', 'url': 'https://www.semanticscholar.org/author/2226805'}]",Short and tweet: experiments on recommending content from information streams,CHI,,,2010,,,10.1145/1753326.1753503,,https://www.semanticscholar.org/paper/b069d0bdc9f33eef2fb0fd39eb10c5a455fd6b0f,
172,,,,"[{'authorId': '1694037', 'name': 'Kathy Lee', 'url': 'https://www.semanticscholar.org/author/1694037'}, {'authorId': '3019232', 'name': 'Diana Palsetia', 'url': 'https://www.semanticscholar.org/author/3019232'}, {'authorId': '37283750', 'name': 'Ramanathan Narayanan', 'url': 'https://www.semanticscholar.org/author/37283750'}, {'authorId': '8176660', 'name': 'Md. Mostofa Ali Patwary', 'url': 'https://www.semanticscholar.org/author/8176660'}, {'authorId': '144186018', 'name': 'Ankit Agrawal', 'url': 'https://www.semanticscholar.org/author/144186018'}, {'authorId': '143975793', 'name': 'Alok N. Choudhary', 'url': 'https://www.semanticscholar.org/author/143975793'}]",Twitter Trending Topic Classification,2011 IEEE 11th International Conference on Data Mining Workshops,,,2011,,,10.1109/ICDMW.2011.171,,https://www.semanticscholar.org/paper/a5c01f2a114c91d0f8c0434cdb683ffdcfa463f4,
173,,,,"[{'authorId': '1797808', 'name': 'Gerard Salton', 'url': 'https://www.semanticscholar.org/author/1797808'}, {'authorId': '121805563', 'name': 'Hans-Jochen Schneider', 'url': 'https://www.semanticscholar.org/author/121805563'}]",Research and Development in Information Retrieval,Lecture Notes in Computer Science,,,1982,,,10.1007/BFb0036332,,https://www.semanticscholar.org/paper/26f2e89f5585cf2ec4c0cdcd4ec4264d5726b07e,
174,,,,"[{'authorId': '2561949', 'name': 'Gerasimos Razis', 'url': 'https://www.semanticscholar.org/author/2561949'}, {'authorId': '145176819', 'name': 'Ioannis Anagnostopoulos', 'url': 'https://www.semanticscholar.org/author/145176819'}]",Modeling Influence with Semantics in Social Networks: A Survey,CSUR,,,2018,,,10.1145/3369780,,https://www.semanticscholar.org/paper/63b1d66b87b0f541f6901057bb9ef6d94f387b6c,
