,score,id,url_num,author,title,venue,vol,pages,year,pub_type,key,doi,ee,url,num
32,2,2104620,URL#2104620,"[{'@pid': '132/1079', 'text': 'Nazpar Yazdanfar'}, {'@pid': 't/AlexThomo', 'text': 'Alex Thomo'}]",LINK RECOMMENDER - Collaborative-Filtering for Recommending URLs to Twitter Users.,ANT/SEIT,Null,412-419,2013,Conference and Workshop Papers,conf/ant/YazdanfarT13,10.1016/J.PROCS.2013.06.056,https://doi.org/10.1016/j.procs.2013.06.056,https://dblp.org/rec/conf/ant/YazdanfarT13,Null
33,2,2188852,URL#2188852,"[{'@pid': '74/7789', 'text': 'Randall Wald'}, {'@pid': 'k/TMKhoshgoftaar', 'text': 'Taghi M. Khoshgoftaar'}, {'@pid': '27/6839', 'text': 'Amri Napolitano'}]",Filter- and wrapper-based feature selection for predicting user interaction with Twitter bots.,IRI,Null,416-423,2013,Conference and Workshop Papers,conf/iri/WaldKN13a,10.1109/IRI.2013.6642501,https://doi.org/10.1109/IRI.2013.6642501,https://dblp.org/rec/conf/iri/WaldKN13a,Null
34,2,2229442,URL#2229442,"[{'@pid': '49/4967', 'text': 'Igor Santos'}, {'@pid': '142/1390', 'text': 'Igor Miñambres-Marcos'}, {'@pid': '57/7795', 'text': 'Carlos Laorden'}, {'@pid': '66/9728', 'text': 'Patxi Galán-García'}, {'@pid': '125/0046', 'text': 'Aitor Santamaría-Ibirika'}, {'@pid': '35/6923', 'text': 'Pablo García Bringas'}]",Twitter Content-Based Spam Filtering.,SOCO-CISIS-ICEUTE,Null,449-458,2013,Conference and Workshop Papers,conf/softcomp/SantosMLGSB13,10.1007/978-3-319-01854-6_46,https://doi.org/10.1007/978-3-319-01854-6_46,https://dblp.org/rec/conf/softcomp/SantosMLGSB13,Null
35,2,2243123,URL#2243123,"[{'@pid': '23/8581', 'text': 'Diego Marinho de Oliveira'}, {'@pid': 'l/AHFLaender', 'text': 'Alberto H. F. Laender'}, {'@pid': '12/919', 'text': 'Adriano Veloso'}, {'@pid': 's/ASdaSilva', 'text': 'Altigran Soares da Silva'}]",FS-NER - a lightweight filter-stream approach to named entity recognition on twitter data.,WWW,Null,597-604,2013,Conference and Workshop Papers,conf/www/OliveiraLVS13,10.1145/2487788.2488003,https://doi.org/10.1145/2487788.2488003,https://dblp.org/rec/conf/www/OliveiraLVS13,Null
36,2,2384821,URL#2384821,"[{'@pid': '48/2412', 'text': 'Jennifer Golbeck'}]",The twitter mute button - a web filtering challenge.,CHI,Null,2755-2758,2012,Conference and Workshop Papers,conf/chi/Golbeck12,10.1145/2207676.2208673,https://doi.org/10.1145/2207676.2208673,https://dblp.org/rec/conf/chi/Golbeck12,Null
37,2,2387857,URL#2387857,"[{'@pid': 'v/JulioVillenaRoman', 'text': 'Julio Villena-Román'}, {'@pid': '66/2473', 'text': 'Sara Lana-Serrano'}, {'@pid': '37/3703', 'text': 'Cristina Moreno'}, {'@pid': '118/3737', 'text': 'Janine García-Morera'}, {'@pid': 'g/JoseCarlosGonzalezC', 'text': 'José Carlos González Cristóbal'}]",DAEDALUS at RepLab 2012 - Polarity Classification and Filtering on Twitter Data.,CLEF,Null,Null,2012,Conference and Workshop Papers,conf/clef/Villena-RomanLMGC12,Null,http://ceur-ws.org/Vol-1178/CLEF2012wn-RepLab-VillenaRomanEt2012.pdf,https://dblp.org/rec/conf/clef/Villena-RomanLMGC12,Null
38,2,2414784,URL#2414784,"[{'@pid': '44/6279', 'text': 'Son Doan'}, {'@pid': '71/4212', 'text': 'Lucila Ohno-Machado'}, {'@pid': '90/2619', 'text': 'Nigel Collier'}]",Enhancing Twitter Data Analysis with Simple Semantic Filtering - Example in Tracking Influenza-Like Illnesses.,HISB,Null,62-71,2012,Conference and Workshop Papers,conf/hisb/DoanOC12,10.1109/HISB.2012.21,https://doi.org/10.1109/HISB.2012.21,https://dblp.org/rec/conf/hisb/DoanOC12,Null
39,2,2451797,URL#2451797,"[{'@pid': '84/7848', 'text': 'Kate Starbird'}, {'@pid': '136/9144', 'text': 'Grace Muzny'}, {'@pid': '88/3668', 'text': 'Leysia Palen'}]",Learning from the crowd - Collaborative filtering techniques for identifying on-the-ground Twitterers during mass disruptions.,ISCRAM,Null,Null,2012,Conference and Workshop Papers,conf/iscram/StarbirdMP12,Null,http://idl.iscram.org/files/starbird/2012/208_Starbird_etal2012.pdf,https://dblp.org/rec/conf/iscram/StarbirdMP12,Null
40,2,2484205,URL#2484205,"[{'@pid': '64/8779', 'text': 'Sandra Garcia Esparza'}, {'@pid': '34/4255', 'text': 'Michael P. O&apos;Mahony'}, {'@pid': 's/BarrySmyth', 'text': 'Barry Smyth'}]",Towards the Profiling of Twitter Users for Topic-Based Filtering.,SGAI Conf.,Null,273-286,2012,Conference and Workshop Papers,conf/sgai/EsparzaOS12,10.1007/978-1-4471-4739-8_22,https://doi.org/10.1007/978-1-4471-4739-8_22,https://dblp.org/rec/conf/sgai/EsparzaOS12,Null
41,2,2487601,URL#2487601,"[{'@pid': '52/5979', 'text': 'Takumi Ichimura'}, {'@pid': '122/2202', 'text': 'Shin Kamada'}]",A generation method of filtering rules of Twitter via smartphone based Participatory Sensing system for tourist by interactive GHSOM and C4.5.,SMC,Null,110-115,2012,Conference and Workshop Papers,conf/smc/IchimuraK12,10.1109/ICSMC.2012.6377685,https://doi.org/10.1109/ICSMC.2012.6377685,https://dblp.org/rec/conf/smc/IchimuraK12,Null
42,2,2518249,URL#2518249,"[{'@pid': '44/6279', 'text': 'Son Doan'}, {'@pid': '71/4212', 'text': 'Lucila Ohno-Machado'}, {'@pid': '90/2619', 'text': 'Nigel Collier'}]",Enhancing Twitter Data Analysis with Simple Semantic Filtering - Example in Tracking Influenza-Like Illnesses,CoRR,abs/1210.0848,Null,2012,Informal Publications,journals/corr/abs-1210-0848,Null,http://arxiv.org/abs/1210.0848,https://dblp.org/rec/journals/corr/abs-1210-0848,Null
43,2,2636568,URL#2636568,"[{'@pid': '74/2824', 'text': 'Damiano Spina'}, {'@pid': '71/5174', 'text': 'Enrique Amigó'}, {'@pid': '52/3559', 'text': 'Julio Gonzalo'}]",Filter Keywords and Majority Class Strategies for Company Name Disambiguation in Twitter.,CLEF,Null,50-61,2011,Conference and Workshop Papers,conf/clef/SpinaAG11,10.1007/978-3-642-23708-9_7,https://doi.org/10.1007/978-3-642-23708-9_7,https://dblp.org/rec/conf/clef/SpinaAG11,Null
44,2,2725625,URL#2725625,"[{'@pid': '66/10928', 'text': 'Jonghyuk Song'}, {'@pid': '17/5702-1', 'text': 'Sangho Lee 0001'}, {'@pid': '46/2217', 'text': 'Jong Kim 0001'}]",Spam Filtering in Twitter Using Sender-Receiver Relationship.,RAID,Null,301-317,2011,Conference and Workshop Papers,conf/raid/SongLK11,10.1007/978-3-642-23644-0_16,https://doi.org/10.1007/978-3-642-23644-0_16,https://dblp.org/rec/conf/raid/SongLK11,Null
45,2,2730955,URL#2730955,"[{'@pid': '27/8503', 'text': 'Pavan Kapanipathi'}, {'@pid': '26/7786', 'text': 'Fabrizio Orlandi'}, {'@pid': 's/AmitPSheth', 'text': 'Amit P. Sheth'}, {'@pid': '65/5112', 'text': 'Alexandre Passant'}]",Personalized Filtering of the Twitter Stream.,SPIM,Null,6-13,2011,Conference and Workshop Papers,conf/semweb/KapanipathiOSP11,Null,http://ceur-ws.org/Vol-781/paper1.pdf,https://dblp.org/rec/conf/semweb/KapanipathiOSP11,Null
46,2,2738274,URL#2738274,"[{'@pid': '69/1838', 'text': 'Ernesto Diaz-Aviles'}, {'@pid': '18/727', 'text': 'Patrick Siehndel'}, {'@pid': '122/5898', 'text': 'Kaweh Djafari Naini'}]",Exploiting Social #-Tagging Behavior in Twitter for Information Filtering and Recommendation.,TREC,Null,Null,2011,Conference and Workshop Papers,conf/trec/Diaz-AvilesSN11,Null,http://trec.nist.gov/pubs/trec20/papers/L3S.microblog.update.pdf,https://dblp.org/rec/conf/trec/Diaz-AvilesSN11,Null
47,2,2744142,URL#2744142,"[{'@pid': '136/4246', 'text': 'Pascal Jürgens'}, {'@pid': '136/4224', 'text': 'Andreas Jungherr'}, {'@pid': '136/4225', 'text': 'Harald Schoen'}]",Small worlds with a difference - new gatekeepers and the filtering of political information on Twitter.,WebSci,Null,21:1-21:5,2011,Conference and Workshop Papers,conf/websci/JurgensJS11,10.1145/2527031.2527034,https://doi.org/10.1145/2527031.2527034,https://dblp.org/rec/conf/websci/JurgensJS11,Null
48,2,2954385,URL#2954385,"[{'@pid': '75/8779', 'text': 'John Hannon'}, {'@pid': '57/6301', 'text': 'Mike Bennett'}, {'@pid': 's/BarrySmyth', 'text': 'Barry Smyth'}]",Recommending twitter users to follow using content and collaborative filtering approaches.,RecSys,Null,199-206,2010,Conference and Workshop Papers,conf/recsys/HannonBS10,10.1145/1864708.1864746,https://doi.org/10.1145/1864708.1864746,https://dblp.org/rec/conf/recsys/HannonBS10,Null
49,2,2961023,URL#2961023,"[{'@pid': '24/8313', 'text': 'Bharath Sriram'}, {'@pid': '70/8313', 'text': 'Dave Fuhry'}, {'@pid': '27/1002', 'text': 'Engin Demir'}, {'@pid': 'f/HFerhatosmanoglu', 'text': 'Hakan Ferhatosmanoglu'}, {'@pid': '11/6409', 'text': 'Murat Demirbas'}]",Short text classification in twitter to improve information filtering.,SIGIR,Null,841-842,2010,Conference and Workshop Papers,conf/sigir/SriramFDFD10,10.1145/1835449.1835643,https://doi.org/10.1145/1835449.1835643,https://dblp.org/rec/conf/sigir/SriramFDFD10,Null
